web-scraper-order,web-scraper-start-url,name,rating,name-link,name-link-href,price-food,name-food
"1616634137-8180","https://www.rappi.com.mx/restaurantes/category/pizza","iL Forno Pizza.","4.5","iL Forno Pizza.  4.5  Pizza  29 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923222496","260","Pizza Carnivora"
"1616634144-8206","https://www.rappi.com.mx/restaurantes/category/pizza","Domino's Pizza","3.7","Domino's Pizza  3.7  Pizza  30 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923226374","99","Alitas BBQ (200 G)"
"1616634150-8291","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzería Al Volo","4.8","Pizzería Al Volo  4.8  Pizza  28 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306704971","50","Old Milwuakee Sin Alcohol 355 ml"
"1616634150-8270","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzería Al Volo","4.8","Pizzería Al Volo  4.8  Pizza  28 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306704971","65","Tartufo"
"1616634087-7954","https://www.rappi.com.mx/restaurantes/category/pizza","Nuut Grill","null","Nuut Grill  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923268677","45","Sidral Mundet 355 ml"
"1616634150-8263","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzería Al Volo","4.8","Pizzería Al Volo  4.8  Pizza  28 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306704971","262","Crudo Di Capra"
"1616634137-8161","https://www.rappi.com.mx/restaurantes/category/pizza","iL Forno Pizza.","4.5","iL Forno Pizza.  4.5  Pizza  29 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923222496","150","Ensalada Primavera"
"1616634087-7955","https://www.rappi.com.mx/restaurantes/category/pizza","Nuut Grill","null","Nuut Grill  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923268677","69","Perrier 330 ml"
"1616634125-8128","https://www.rappi.com.mx/restaurantes/category/pizza","Piccolo Pizza","4.6","Piccolo Pizza  4.6  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923216735","60","Gelato de Chocolate"
"1616634100-7993","https://www.rappi.com.mx/restaurantes/category/pizza","Lucciano's","null","Lucciano's  Pizza  30 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923253263","230","Lasagna Bolognesa"
"1616634150-8272","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzería Al Volo","4.8","Pizzería Al Volo  4.8  Pizza  28 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306704971","26","Coca-Cola Original 330 ml"
"1616634150-8236","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzería Al Volo","4.8","Pizzería Al Volo  4.8  Pizza  28 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306704971","126","Ensalada Verde Mixta"
"1616634106-8028","https://www.rappi.com.mx/restaurantes/category/pizza","Albahaca 33","null","Albahaca 33                                                         Pizza  28 min ● $26  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923204475","139","Serrano Gourmet"
"1616634093-7963","https://www.rappi.com.mx/restaurantes/category/pizza","Sofia Pizzeria El Refugio","null","Sofia Pizzeria El Refugio  Pizza  30 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923271166","73","Ensalada César"
"1616634087-7937","https://www.rappi.com.mx/restaurantes/category/pizza","Nuut Grill","null","Nuut Grill  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923268677","320","Hamburguesa Especial de la Casa 300 G"
"1616634118-8071","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Puq","null","Pizza Puq  Pizza  29 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923240329","174","Pizza Salami Grande"
"1616634137-8163","https://www.rappi.com.mx/restaurantes/category/pizza","iL Forno Pizza.","4.5","iL Forno Pizza.  4.5  Pizza  29 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923222496","213","Pizza Carnes Frías"
"1616634150-8283","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzería Al Volo","4.8","Pizzería Al Volo  4.8  Pizza  28 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306704971","25","Fresca Toronja 355 ml"
"1616634112-8035","https://www.rappi.com.mx/restaurantes/category/pizza","Tentazione Pizzas Artesanales","null","Tentazione Pizzas Artesanales  Saludables ,  Pizza  29 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923256760","185","Pizza Hawaiana"
"1616634150-8297","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzería Al Volo","4.8","Pizzería Al Volo  4.8  Pizza  28 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306704971","70","Alemana Oscura Kostriber 330 ml"
"1616634125-8110","https://www.rappi.com.mx/restaurantes/category/pizza","Piccolo Pizza","4.6","Piccolo Pizza  4.6  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923216735","150","Panini de Arrachera"
"1616634087-7928","https://www.rappi.com.mx/restaurantes/category/pizza","Nuut Grill","null","Nuut Grill  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923268677","328","Pizza 3 Quesos"
"1616634144-8210","https://www.rappi.com.mx/restaurantes/category/pizza","Domino's Pizza","3.7","Domino's Pizza  3.7  Pizza  30 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923226374","119","Boneless BBQ (168 G)"
"1616634150-8303","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzería Al Volo","4.8","Pizzería Al Volo  4.8  Pizza  28 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306704971","85","Menabrea 355 ml"
"1616634131-8141","https://www.rappi.com.mx/restaurantes/category/pizza","Coliseo Pizza.","4.5","Coliseo Pizza.  4.5  Pizza  36 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923241747","213","Pizza Carnes Frías"
"1616634087-7946","https://www.rappi.com.mx/restaurantes/category/pizza","Nuut Grill","null","Nuut Grill  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923268677","150","Tarta de Frambuesas"
"1616634118-8048","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Puq","null","Pizza Puq  Pizza  29 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923240329","137","Pizza Margarita Mediana"
"1616634150-8302","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzería Al Volo","4.8","Pizzería Al Volo  4.8  Pizza  28 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306704971","60","Modelo 355 ml"
"1616634087-7943","https://www.rappi.com.mx/restaurantes/category/pizza","Nuut Grill","null","Nuut Grill  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923268677","110","Papas Gajo"
"1616634118-8057","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Puq","null","Pizza Puq  Pizza  29 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923240329","187","Pizza Atún Mediana"
"1616634106-8003","https://www.rappi.com.mx/restaurantes/category/pizza","Albahaca 33","null","Albahaca 33                                                         Pizza  28 min ● $26  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923204475","125","Lunch #2 - Panini"
"1616634087-7915","https://www.rappi.com.mx/restaurantes/category/pizza","Nuut Grill","null","Nuut Grill  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923268677","170","Minestrone"
"1616634150-8300","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzería Al Volo","4.8","Pizzería Al Volo  4.8  Pizza  28 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306704971","50","XX 355 ml"
"1616634112-8041","https://www.rappi.com.mx/restaurantes/category/pizza","Tentazione Pizzas Artesanales","null","Tentazione Pizzas Artesanales  Saludables ,  Pizza  29 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923256760","220","Pizza Serrano"
"1616634150-8284","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzería Al Volo","4.8","Pizzería Al Volo  4.8  Pizza  28 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306704971","25","Sidral Mundet Original 355 ml"
"1616634144-8201","https://www.rappi.com.mx/restaurantes/category/pizza","Domino's Pizza","3.7","Domino's Pizza  3.7  Pizza  30 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923226374","209","Especialidades Mediana 5-9 Ingredientes"
"1616634150-8231","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzería Al Volo","4.8","Pizzería Al Volo  4.8  Pizza  28 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306704971","141","Ravioles Cuatro Quesos a la Mantequilla"
"1616634150-8227","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzería Al Volo","4.8","Pizzería Al Volo  4.8  Pizza  28 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306704971","135","Tortellini Alla Panna"
"1616634106-8010","https://www.rappi.com.mx/restaurantes/category/pizza","Albahaca 33","null","Albahaca 33                                                         Pizza  28 min ● $26  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923204475","184","Pizzatouille (32cm aprox.)"
"1616634106-8014","https://www.rappi.com.mx/restaurantes/category/pizza","Albahaca 33","null","Albahaca 33                                                         Pizza  28 min ● $26  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923204475","129","Chapata de Jamón Serrano"
"1616634125-8136","https://www.rappi.com.mx/restaurantes/category/pizza","Piccolo Pizza","4.6","Piccolo Pizza  4.6  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923216735","35","Sprite Sin Azúcar 355 ml"
"1616634087-7939","https://www.rappi.com.mx/restaurantes/category/pizza","Nuut Grill","null","Nuut Grill  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923268677","395","Brocheta de Camarones"
"1616634093-7975","https://www.rappi.com.mx/restaurantes/category/pizza","Sofia Pizzeria El Refugio","null","Sofia Pizzeria El Refugio  Pizza  30 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923271166","178","Veggie"
"1616634137-8165","https://www.rappi.com.mx/restaurantes/category/pizza","iL Forno Pizza.","4.5","iL Forno Pizza.  4.5  Pizza  29 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923222496","180","Pizza Hawaiana"
"1616634093-7969","https://www.rappi.com.mx/restaurantes/category/pizza","Sofia Pizzeria El Refugio","null","Sofia Pizzeria El Refugio  Pizza  30 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923271166","220","Norteña"
"1616634093-7972","https://www.rappi.com.mx/restaurantes/category/pizza","Sofia Pizzeria El Refugio","null","Sofia Pizzeria El Refugio  Pizza  30 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923271166","220","Quattro Formaggi"
"1616634150-8249","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzería Al Volo","4.8","Pizzería Al Volo  4.8  Pizza  28 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306704971","210","Napoli"
"1616634100-7994","https://www.rappi.com.mx/restaurantes/category/pizza","Lucciano's","null","Lucciano's  Pizza  30 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923253263","215","Milanesa a la Napolitana"
"1616634150-8220","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzería Al Volo","4.8","Pizzería Al Volo  4.8  Pizza  28 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306704971","80","Salsa Al Volo"
"1616634106-7999","https://www.rappi.com.mx/restaurantes/category/pizza","Albahaca 33","null","Albahaca 33                                                         Pizza  28 min ● $26  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923204475","111","Ensalada Fresca"
"1616634150-8259","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzería Al Volo","4.8","Pizzería Al Volo  4.8  Pizza  28 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306704971","225","Gustosa"
"1616634125-8123","https://www.rappi.com.mx/restaurantes/category/pizza","Piccolo Pizza","4.6","Piccolo Pizza  4.6  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923216735","132","Pizza Piccolina con 2 Ingredientes"
"1616634137-8166","https://www.rappi.com.mx/restaurantes/category/pizza","iL Forno Pizza.","4.5","iL Forno Pizza.  4.5  Pizza  29 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923222496","191","Pizza Pepperoni"
"1616634106-8009","https://www.rappi.com.mx/restaurantes/category/pizza","Albahaca 33","null","Albahaca 33                                                         Pizza  28 min ● $26  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923204475","178","Promo Duo"
"1616634137-8177","https://www.rappi.com.mx/restaurantes/category/pizza","iL Forno Pizza.","4.5","iL Forno Pizza.  4.5  Pizza  29 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923222496","216","Pizza Donatello"
